EQ, 678146187.01, TDL, UW,   , EHZ, S, None, F
EQ, 678146189.02, WPW, UW,   , EHZ, P, None, F
EQ, 678146197.21, WPW, UW,   , EHZ, S, None, F
EQ, 678146185.13, FL2, UW,   , EHZ, P, None, F
EQ, 678146190.61, FL2, UW,   , EHZ, S, None, F
EQ, 678146186.84, JUN, UW,   , EHZ, P, None, F
EQ, 678146187.77, CDF, UW,   , EHZ, P, None, F
EQ, 678146194.86, CDF, UW,   , EHZ, S, None, F
EQ, 678146185.68, SHW, UW,   , EHZ, P, None, F
EQ, 678146181.01, LMW, UW,   , EHZ, P, None, F
EQ, 678146183.44, LMW, UW,   , EHZ, S, None, F
EQ, 678146186.56, HSR, UW,   , EHZ, P, None, F
EQ, 678146192.56, HSR, UW,   , EHZ, S, None, F
EQ, 678146187.57, RVW, UW,   , EHZ, P, None, F
EQ, 678146186.35, LO2, UW,   , EHZ, P, None, F
EQ, 678146187.22, RVC, UW,   , EHZ, P, None, F
EQ, 678146181.83, KOS, UW,   , EHZ, P, None, F
EQ, 678146184.84, KOS, UW,   , EHZ, S, None, F
EQ, 678146192.08, GSM, UW,   , EHZ, P, None, F
EQ, 678146190.67, ASR, UW,   , EHZ, P, None, F
EQ, 746756587.28, RVC, UW,   , EHZ, P, None, F
EQ, 746756589.06, RVC, UW,   , EHZ, S, None, F
EQ, 746756593.41, GLK, UW,   , EHZ, P, None, F
EQ, 746756588.46, RER, UW,   , EHZ, P, None, F
EQ, 746756589.18, FMW, UW,   , EHZ, P, None, F
EQ, 746756592.22, FMW, UW,   , EHZ, S, None, F
EQ, 746756592.28, WPW, UW,   , EHZ, P, None, F
EQ, 746756588.92, RCS, UW,   , EHZ, P, None, F
EQ, 746756589.23, LO2, UW,   , EHZ, P, None, F
EQ, 691325625.85, HDW, UW,   , EHZ, P, None, F
EQ, 691325614.84, JCW, UW,   , EHZ, P, None, F
EQ, 691325618.86, JCW, UW,   , EHZ, S, None, F
EQ, 691325618.15, RPW, UW,   , EHZ, P, None, F
EQ, 691325624.51, RPW, UW,   , EHZ, S, None, F
EQ, 691325621.2, HTW, UW,   , EHZ, P, None, F
EQ, 691325613.07, CMW, UW,   , EHZ, P, None, F
